termo,nome
arroz,"Arroz, tipo 1, cozido"
arroz integral,"Arroz, integral, cozido"
frango,"Frango, peito, sem pele, grelhado"
peito de frango,"Frango, peito, sem pele, grelhado"
frango cozido,"Frango, peito, sem pele, cozido"
ovo,"Ovo, de galinha, inteiro, cozido/10minutos"
ovo frito,"Ovo, de galinha, inteiro, frito"
clara,"Ovo, de galinha, clara, cozida/10minutos"
gema,"Ovo, de galinha, gema, cozida/10minutos"
feijao,"Feijão, carioca, cozido"
feijao preto,"Feijão, preto, cozido"
batata,"Batata, inglesa, cozida"
batata doce,"Batata, doce, cozida"
banana,"Banana, prata, crua"
maca,"Maçã, Fuji, com casca, crua"
laranja,"Laranja, pêra, crua"
aveia,"Aveia, flocos, crua"
pao,"Pão, trigo, francês"
pao frances,"Pão, trigo, francês"
pao integral,"Pão, trigo, forma, integral"
macarrao,"Macarrão, trigo, cru"
patinho,"Carne, bovina, patinho, sem gordura, grelhado"
carne moida,"Carne, bovina, acém, moído, cozido"
tapioca,"Tapioca, com manteiga"
mandioca,"Mandioca, cozida"
cenoura,"Cenoura, crua"
tomate,"Tomate, com semente, cru"
alface,"Alface, crespa, crua"
queijo,"Queijo, minas, frescal"
iogurte,"Iogurte, natural"
azeite,"Azeite, de oliva, extra virgem"
manteiga,"Manteiga, com sal"
acucar,"Açúcar, refinado"
